date,amount,category
2024-01-01,2500.0,income
2024-01-01,-59.67521834044868,food
2024-01-01,-46.760161885765726,transport
2024-01-01,-28.280277204305584,social_life_entertainment
2024-01-01,-131.18451361479572,household
2024-01-01,118.48934198359359,savings_investments
2024-01-04,-47.65055457040854,food
2024-01-06,-95.33281058380561,household
2024-01-07,-64.67411159998181,food
2024-01-08,-45.629379443299456,transport
2024-01-10,-57.66388214649329,food
2024-01-11,-70.28708709843752,social_life_entertainment
2024-01-11,-99.38055654215148,household
2024-01-13,-33.97874803954769,food
2024-01-13,275.16457141819967,savings_investments
2024-01-15,-34.66057210075263,transport
2024-01-16,2800.0,income
2024-01-16,-77.26984254555398,food
2024-01-16,-133.81228197843723,household
2024-01-19,-40.53164509218115,food
2024-01-21,-94.33665641824966,social_life_entertainment
2024-01-21,-68.52292177058257,household
2024-01-22,-39.033999524288085,food
2024-01-22,-45.421061658414054,transport
2024-01-25,-42.789239193717776,food
2024-01-25,440.1059529536805,savings_investments
2024-01-26,-115.50177152897011,household
2024-01-28,-36.83527875062101,food
2024-01-29,-20.629471390894697,transport
2024-01-29,-20.629471390894697,transport
2024-01-30,-88.73261434567812,social_life_entertainment
2024-01-31,-120.45678901234567,household





